ID;Категория;Позиция;Гранулярность и история;Источник;Формат;NDA Tier;Модули;Приоритет
2.5;SCADA / процесс;"Параметры ФС-1/2: ΔP, P вх/вых, уровень шлама, температура нефти";"1 мин · история ≥ 12 мес";"OSIsoft PI";"CSV / PI Web API";2;"M2, M4";P1
2.6;SCADA / процесс;"Манифольд: положения задвижек 501–505, статус блокировок";"Изменения статуса · история ≥ 12 мес";"SCADA";"Event log CSV";2;M2;P1
2.7;SCADA / процесс;"СИКН/УУН: массовый расход, объёмный расход, T, плотность, счётчик (сутки/месяц), качество (сера, вода, мех. примеси, ДНП)";"1 мин + ежесуточный отчёт · история ≥ 24 мес";"СИКН-АСУ + ЛПУ";"CSV + XLSX отчёты";2;"M2, M3";P0
2.8;SCADA / процесс;"Магистральный участок: P начало/конец, T нефти, расход, плотность";"1 мин · история ≥ 12 мес";"SCADA / ПИ";"CSV / PI Web API";2;"M1, M2, M4";P0
2.9;SCADA / процесс;"ЭХЗ: ток/потенциал СКЗ, ON/OFF потенциалы по контрольным точкам";"Контрольные точки на участке · 1 час";"АСУ ЭХЗ";CSV;2;M4;P0
2.10;SCADA / процесс;"Журнал тревог и событий SCADA";"Все события НПС · история ≥ 12 мес";"SCADA Alarm log";"CSV / SQL";2;"M2, M4";P1
3.1;Производство;"Суточный объём прокачки: всего, по нитке, по направлению (экспорт/внутр./импорт)";"Сутки · история ≥ 24 мес";"ЦДС / 1С / отчёты ДС";"XLSX / CSV";2;"M1, M3";P0
3.2;Производство;"План транспортировки: годовой, месячный, суточная номинация по грузоотправителям";"Месяц/сутки · 12 мес плана + 24 мес факт";"Коммерческая служба · 1С";XLSX;2;M3;P1
3.3;Производство;"Качество нефти на узле: плотность, сера, вода, мех. примеси, ДНП — товарный паспорт";"Партия / сутки · история ≥ 24 мес";"ЛАБ / СИКН";"Паспорт качества PDF + XLSX";2;M3;P1
3.4;Производство;"Режим работы НПС: число НА в работе, схема обвязки, P задание, активные блокировки";"Изменения · 12 мес";"ЦДС / SCADA";CSV;2;"M2, M3";P1
3.5;Производство;"Энергопотребление: кВт·ч на НА, на НПС суммарно; уд. расход кВт·ч/т";"1 час · 12 мес";"АСКУЭ + SCADA";CSV;2;M3;P1
4.1;ТОиР;"Журнал ремонтов: оборудование, дата, тип (плановый/аварийный/капитальный/обследование), длительность, стоимость, бригада, ЗИП, причина";"Все объекты НПС · история ≥ 36 мес";"SAP PM / 1С:ERP ТОиР";"CSV / выгрузка таблицы";2;"M2, M4";P0
4.2;ТОиР;"График ППР на 12 мес: оборудование, плановая дата, объём, бюджет";"Текущий и следующий год";"SAP PM";"XLSX / CSV";2;"M2, M4";P0
4.3;ТОиР;"Отказы: код отказа, классификация (5M), MTBF/MTTR по семействам";"По типам оборудования · ≥ 36 мес";"SAP PM + надёжностный анализ";CSV;2;"M2, M4";P1
4.4;ТОиР;"Запасы ЗИП: критические позиции, остаток, оборачиваемость, lead time";"По НПС · текущий снимок + 12 мес истории";"1С:ERP";CSV;2;M2;P2
5.1;Целостность;"Результаты внутритрубной диагностики (ВИП): MFL/UT, координаты, тип/глубина дефекта, ERF, оценка скорости роста";"Последние 1–2 прогона по участку";"Отчёты подрядчика ВИП";"PDF + структурированный CSV/XLSX";3;M4;P0
5.2;Целостность;"Внешняя коррозия: CIPS / DCVG / PCM, состояние изоляции, рекомендации";"Последние обследования по участку";"Подрядчик ЭХЗ-обследования";"PDF + CSV точек";2;M4;P0
5.3;Целостность;"Внутренняя коррозия: купоны, скорость коррозии";"По точкам отбора · ≥ 24 мес";"ЛАБ + журнал";XLSX;2;M4;P1
5.4;Целостность;"История гидроиспытаний, ремонтов трубы (хомуты, муфты), вырезок";"По всему участку · с момента ввода";"Архив службы целостности";"PDF + CSV";2;M4;P1
5.5;Целостность;"Реестр дефектов с классификацией и планом устранения; реестр ремонтных работ FFP/FFS";"Активный реестр · история ≥ 36 мес";"Служба целостности";"XLSX / CSV";2;M4;P0
5.6;Целостность;"Подвижки/осадки трассы (геомониторинг), сложные участки (карст, оползни, ММ)";"По контрольным точкам";"GIS / ИГИ";"Shapefile + CSV";2;M4;P2
6.1;ПБ и ОТ;"Журнал инцидентов и near-miss: тип, дата, объект, описание, последствия, корректирующие меры";"По НПС и участку · 36 мес";"Служба ПБ · 1С";"CSV / XLSX";3;"M3, M4";P1
6.2;ПБ и ОТ;"История разливов/утечек: координаты, объём, причина, последствия, экологический ущерб";"По участку · с момента ввода";"Служба ПБ + экология";"XLSX + GeoJSON";3;"M1, M4";P0
6.3;ПБ и ОТ;"Показатели LTIFR, PSE, экологические штрафы";"Помесячно · 24 мес";"Служба ПБ";XLSX;2;M3;P2
7.1;Организация;"Орг. структура филиала, штатное расписание пилотной НПС (без ФИО)";"Текущая";"HR / ОК";XLSX;1;"M1, M3";P2
7.2;Организация;"Сменный график, режимы работы, дежурный диспетчер ЦДС";"Текущий + 12 мес истории";"ЦДС";XLSX;2;M3;P2
8.1;Интеграция;"Архитектура SCADA/PI/SAP/1С: схема сети, DMZ, доступные интерфейсы, версии";"Текущая на пилотной НПС";"ИТ / АСУ ТП";"Visio / PDF + сопроводительная записка";3;"M1, M2, M3, M4";P0
8.2;Интеграция;"API/коннекторы: PI Web API, SAP RFC/OData, 1С HTTP-сервисы — endpoints, креды для тестового контура";"Тестовая среда";"ИТ / АСУ ТП";"Документация + ключи через защищённый канал";3;"M2, M3, M4";P0
8.3;Интеграция;"Доступ к историческим данным PI: окно, сэмплинг, ограничения по нагрузке";"Тестовая выгрузка ≥ 12 мес";"АСУ ТП / PI-администратор";"Документация + права доступа";3;"M2, M3";P0
8.4;Интеграция;"Аутентификация: AD/LDAP, SSO, требования по сертификатам";"Тестовая среда";ИБ;"Регламент + пилотный аккаунт";3;"M1, M2, M3, M4";P1
